lon,lat,group,2015-2019
-179.5,14.5,smallPel,0.000943807726299067
-179.5,14.5,largePel,1.10327145150714e-29
-179.5,14.5,demersals,1.18976817950736e-06
-179.5,14.5,total,0.000944997494478574
-179.5,15.5,smallPel,0.00159369883772894
-179.5,15.5,largePel,6.61790094158271e-30
-179.5,15.5,demersals,1.1931276466916e-06
-179.5,15.5,total,0.00159489196537563
-179.5,16.5,smallPel,0.000477955998618892
-179.5,16.5,largePel,8.31410728234274e-32
-179.5,16.5,demersals,1.12689243773576e-06
-179.5,16.5,total,0.000479082891056627
-179.5,17.5,smallPel,8.68838460531283e-05
-179.5,17.5,largePel,2.78529164991169e-33
-179.5,17.5,demersals,1.06003565821852e-06
-179.5,17.5,total,8.79438817113469e-05
-179.5,18.5,smallPel,1.5516811692854e-05
-179.5,18.5,largePel,4.90072082101926e-32
-179.5,18.5,demersals,1.21393763947607e-06
-179.5,18.5,total,1.673074933233e-05
-179.5,19.5,smallPel,2.90129438113637e-06
-179.5,19.5,largePel,1.02864472625074e-31
-179.5,19.5,demersals,1.00016706161004e-06
-179.5,19.5,total,3.90146144274641e-06
-179.5,20.5,smallPel,7.97297006641076e-08
-179.5,20.5,largePel,3.65570162705268e-29
-179.5,20.5,demersals,7.84014365380804e-07
-179.5,20.5,total,8.63744066044911e-07
-179.5,21.5,smallPel,7.29115772763015e-08
-179.5,21.5,largePel,1.31893999348908e-27
-179.5,21.5,demersals,5.95063554323887e-07
-179.5,21.5,total,6.67975131600189e-07
-179.5,22.5,smallPel,4.0579846117835e-08
-179.5,22.5,largePel,5.24303207208662e-25
-179.5,22.5,demersals,4.79954347738673e-07
-179.5,22.5,total,5.20534193856508e-07
-179.5,23.5,smallPel,1.77966413048204e-08
-179.5,23.5,largePel,1.35700051778658e-23
-179.5,23.5,demersals,4.19665720291982e-07
-179.5,23.5,total,4.37462361596803e-07
-179.5,24.5,smallPel,4.56962593059934e-06
-179.5,24.5,largePel,7.48647439432032e-27
-179.5,24.5,demersals,5.12861625769102e-07
-179.5,24.5,total,5.08248755636844e-06
-179.5,25.5,smallPel,9.84526492990843e-05
-179.5,25.5,largePel,1.09772591845822e-29
-179.5,25.5,demersals,6.93138126537293e-07
-179.5,25.5,total,9.91457874256216e-05
-179.5,26.5,smallPel,0.00581305717166031
-179.5,26.5,largePel,4.02102187508966e-37
-179.5,26.5,demersals,1.01863455925978e-06
-179.5,26.5,total,0.00581407580621957
-179.5,27.5,smallPel,0.0128917881593971
-179.5,27.5,largePel,1.16035420097226e-46
-179.5,27.5,demersals,1.48341101380297e-06
-179.5,27.5,total,0.0128932715704109
-179.5,28.5,smallPel,0.0268111147125347
-179.5,28.5,largePel,1.51310035049532e-55
-179.5,28.5,demersals,2.12907397019868e-06
-179.5,28.5,total,0.0268132437865049
